"","9.9. ЧИСЛЕННОСТЬ ЛИЦ,  РАЗМЕЩЕННЫХ В ГОСТИНИЦАХ,","","","",""
"","САНАТОРНО-КУРОРТНЫХ ОРГАНИЗАЦИЯХ И ОРГАНИЗАЦИЯХ ОТДЫХА","","","",""
"","(человек)","","","",""
"","2014","2015","2016","2017","2018"
"","","Численность размещенных лиц – всего","","",""
"Всего","580857","660939","604889","694212","690596"
"в том числе:","","","","",""
"гостиницы и аналогичные средства размещения","303433","347623","321490","394341","402375"
"специализированные коллективные средства","","","","",""
"размещения – всего","277424","313316","283399","299871","288221"
"из них:","","","","",""
"санаторно-курортные организации1)","163153","186093","178221","161443","157675"
"организации отдыха1)","54558","55664","84685","95992","105914"
"туристские базы1)","4338","3196","20493","42436","24632"
"","","","Из них дети2)","",""
"Всего1)","49186","58887","85836","103607","104799"
"в том числе:","","","","",""
