"","","","","Продолжение табл. 23.20"
"","Задолженность покупателей","","Задолженность поставщикам",""
"","","и заказчиков за товары,","и подрядчикам за товары,",""
"","работы и услуги","","работы и услуги",""
"","всего","из нее","всего","из нее"
"","","просроченная","","просроченная"
"производство прочих транспортных","","","",""
"средств и оборудования","939,9","…2)","1113,5","-"
"производство мебели","…2)","-","…2)","-"
"производство прочих готовых изделий","…2)","…2)","…2)","…2)"
"обеспечение электрической энергией, газом","","","",""
"и паром; кондиционирование воздуха","10386,0","1739,9","11375,0","2494,2"
"водоснабжение; водоотведение,","","","",""
"организация сбора и утилизации отходов,","","","",""
"деятельность по ликвидации загрязнений","896,3","293,8","568,9","245,3"
"строительство","1438,7","24,4","1711,6","29,5"
"торговля оптовая и розничная; ремонт","","","",""
"автотранспортных средств и мотоциклов","9440,3","141,3","23659,5","…2)"
"в том числе:","","","",""
"торговля оптовая и розничная","","","",""
"автотранспортными средствами и","","","",""
"мотоциклами и их ремонт","226,5","…2)","295,3","-"
"торговля оптовая, кроме оптовой","","","",""
"торговли автотранспортными средствами","","","",""
"и мотоциклами","8412,3","53,6","13104,9","…2)"
"торговля розничная, кроме торговли","","","",""
"автотранспортными средствами и","","","",""
"мотоциклами","801,5","86,7","10259,3","-"
"транспортировка и хранение","1229,3","11,8","3097,7","12,5"
"деятельность гостиниц и предприятий","","","",""
"общественного питания","7,5","5,3","24,9","…2)"
"деятельность в области информации и","","","",""
"связи","97,6","…2)","27,1","-"
"деятельность финансовая и страховая","-","-","-","-"
"деятельность по операциям с недвижимым","","","",""
"имуществом","223,3","16,2","506,3","3,1"
"деятельность профессиональная, научная и","","","",""
"техническая","283,5","3,1","69,4","…2)"
"деятельность административная и","","","",""
"сопутствующие дополнительные услуги","123,1","41,0","317,2","66,4"
"государственное управление и обеспечение","","","",""
"военной безопасности;","","","",""
"социальное обеспечение","…2)","…2)","…2)","-"
"образование","4,6","…2)","45,6","-"
"деятельность в области здравоохранения и","","","",""
"социальных услуг","180,6","…2)","202,5","-"
"деятельность в области культуры, спорта,","","","",""
"организации досуга и развлечений","…2)","-","0,6","-"
"предоставление прочих видов услуг","11,6","1,6","21,7","…2)"
