"","8.19. ЗАБОЛЕВАЕМОСТЬ НАСЕЛЕНИЯ БОЛЕЗНЯМИ, ПЕРЕДАВАЕМЫМИ","","","","","","","","",""
"","ПРЕИМУЩЕСТВЕННО ПОЛОВЫМ ПУТЕМ, ПО ВОЗРАСТНЫМ ГРУППАМ1)","","","","","","","","",""
"","","","Всего, человек","","","","На 100 000 человек населения","","",""
"","2014","2015","2016","2017","2018","2014","2015","2016","2017","2018"
"Выявлено больных с впер-","","","","","","","","","",""
"вые в жизни установленным","","","","","","","","","",""
"диагнозом сифилиса:","","","","","","","","","",""
"мужчины","292","243","222","192","183","26,5","22,1","20,3","17,6","16,9"
"женщины","290","233","215","189","185","22,6","18,2","16,9","14,9","14,7"
"из них в возрасте, лет:","","","","","","","","","",""
"0-14","","","","","","","","","",""
"мужчины","1","-","1","-","1","0,5","-","0,5","-","0,5"
"женщины","2","2","-","-","-","1,0","0,5","-","-","-"
"15-17","","","","","","","","","",""
"мужчины","3","4","1","2","-","9,2","12,1","3,0","5,7","-"
"женщины","9","13","4","2","-","28,6","40,5","12,2","6,0","-"
"18-292)","","","","","","","","","",""
"мужчины","107","89","56","33","14","56,3","49,3","32,8","20,5","9,2"
"женщины","147","99","68","53","40","78,1","55,6","40,4","33,4","26,8"
"30-39","","","","","","","","","",""
"мужчины","107","73","70","76","56","59,2","40,3","38,6","41,8","30,8"
"женщины","81","64","70","68","59","42,9","33,9","37,2","36,3","31,7"
"40 и старше","","","","","","","","","",""
"мужчины","74","77","94","81","112","15,1","15,7","19,1","16,4","22,7"
"женщины","51","55","73","66","86","7,5","6,6","10,7","9,7","12,6"
"Выявлено больных с впер-","","","","","","","","","",""
"вые в жизни установленным","","","","","","","","","",""
"диагнозом гонореи:","","","","","","","","","",""
"мужчины","358","265","233","227","203","32,5","24,1","21,3","20,8","18,8"
"женщины","97","90","58","64","52","7,6","7,0","4,5","5,0","4,1"
"из них в возрасте, лет:","","","","","","","","","",""
"0-14","","","","","","","","","",""
"мужчины","-","-","-","-","-","-","-","-","-","-"
"женщины","-","-","-","-","-","-","-","-","-","-"
"15-17","","","","","","","","","",""
"мужчины","6","7","4","4","7","18,3","21,1","11,8","11,4","19,2"
"женщины","3","2","6","4","5","9,5","6,2","18,4","11,9","14,3"
