"","6.11. РАСПРЕДЕЛЕНИЕ НАСЕЛЕНИЯ ПО ВЕЛИЧИНЕ","","","",""
"","СРЕДНЕДУШЕВЫХ ДЕНЕЖНЫХ ДОХОДОВ","","","",""
"","(в процентах)","","","",""
"","2014","2015","2016","2017","2018"
"Все население","100","100","100","100","100"
"в том числе со среднедушевыми де-","","","","",""
"нежными доходами в месяц, рублей","","","","",""
"до 7000,0","15,1","10,6","10,2","9,4","8,7"
"от 7000,1 до 10000,0","15,0","12,7","12,4","11,7","11,2"
"от 10000,1 до 14000,0","18,4","17,3","17,0","16,5","16,1"
"от 14000,1 до 19000,0","17,1","17,6","17,5","17,4","17,3"
"от 19000,1 до 27000,0","16,2","18,2","18,4","18,7","18,9"
"от 27000,1 до 45000,0","13,2","16,4","16,9","17,8","18,5"
"от 45000,1 до 60000,0","3,0","4,2","4,4","4,8","5,2"
"свыше 60000,0","2,0","3,0","3,2","3,7","4,1"
