"","25.1. ИНДЕКСЫ ПОТРЕБИТЕЛЬСКИХ ЦЕН И ЦЕН ПРОИЗВОДИТЕЛЕЙ","","","",""
"","(в процентах)","","","",""
"","2014","2015","2016","2017","2018"
"","","Декабрь к декабрю предыдущего года","","",""
"Индекс потребительских цен","111,2","112,4","105,8","101,8","104,1"
"Индекс цен производителей промышленных","","","","",""
"товаров","114,4","109,7","111,4","101,0","109,0"
"Индекс цен производителей сельскохозяйст-","","","","",""
"венной продукции","113,0","106,7","106,3","88,5","104,5"
"Сводный индекс цен строительной продукции","110,6","111,2","100,0","101,9","106,1"
"Индекс тарифов на грузовые перевозки авто-","","","","",""
"мобильным транспортом","100,5","134,7","98,9","107,1","101,9"
"","","","К предыдущему году","",""
"Индекс потребительских цен","108,1","114,8","107,2","103,6","102,7"
"Индекс цен производителей промышленных","","","","",""
"товаров","103,6","116,9","107,1","109,0","102,6"
"Индекс цен производителей сельскохозяйст-","","","","",""
"венной продукции","106,5","114,1","107,6","97,2","90,8"
"Сводный индекс цен строительной продукции","105,4","111,1","107,8","100,1","103,1"
"Индекс тарифов на грузовые перевозки авто-","","","","",""
"мобильным транспортом","101,1","106,6","111,6","106,2","102,8"
