"","","4.3. ЧИСЛЕННОСТЬ МУЖЧИН И ЖЕНЩИН","","","",""
"","","","(на 1 января)","","",""
"Годы","Все","В том числе","","","В общей численности населения,",""
"","население,","","","","процентов",""
"","человек","","","","",""
"","","мужчины","женщины","мужчины","","женщины"
"2015","2384812","1101705","1283107","46,2","","53,8"
"2016","2376774","1098206","1278568","46,2","","53,8"
"2017","2365680","1092562","1273118","46,2","","53,8"
"2018","2350080","1085427","1264653","46,2","","53,8"
"2019","2332813","1077522","1255291","46,2","","53,8"
