"","","","","","Продолжение табл. 11.2",""
"","","2016","","","2017",""
"","Выпуск","Промежу-","Валовая","Выпуск","Промежу-","Валовая"
"","","точное","добавлен-","","точное","добавлен-"
"","","потребле-","ная стои-","","потребле-","ная стои-"
"","","ние","мость","","ние","мость"
"Деятельность гостиниц и предпри-","","","","","",""
"ятий общественного питания","9584,9","4533,2","5051,7","11324,1","5056,3","6267,8"
"Деятельность в области информации","","","","","",""
"и связи","20386,1","5492,9","14893,2","21963,9","6152,6","15811,3"
"Деятельность финансовая и страхо-","","","","","",""
"вая","2633,0","1256,3","1376,7","2449,7","1102,0","1347,7"
"Деятельность по операциям с недви-","","","","","",""
"жимым имуществом","57475,6","9398,8","48076,8","58350,1","8909,4","49440,7"
"Деятельность профессиональная, на-","","","","","",""
"учная и техническая","16004,3","3507,5","12496,7","14342,1","3450,6","10891,5"
"Деятельность административная и","","","","","",""
"сопутствующие дополнительные ус-","","","","","",""
"луги","10695,0","2353,7","8341,3","10817,0","2553,1","8263,9"
"Государственное управление и обес-","","","","","",""
"печение военной безопасности; соци-","","","","","",""
"альное обеспечение","58627,1","23270,6","35356,5","61250,3","24792,1","36458,3"
"Образование","25975,0","5421,9","20553,1","27791,1","5804,0","21987,1"
"Деятельность в области здравоохра-","","","","","",""
"нения и социальных услуг","48841,9","21253,5","27588,4","50602,7","21855,8","28746,9"
"Деятельность в области культура,","","","","","",""
"спорта, организации досуга и развле-","","","","","",""
"чений","4146,4","1488,9","2657,4","5318,9","1712,3","3606,6"
"Предоставление прочих видов услуг","5104,4","1379,3","3725,2","5234,3","1425,4","3808,9"
"Деятельность домашних хозяйств как","","","","","",""
"","-","-","-","-","-","-"
"работодателей","","","","","",""
