"","3.9. ИНВЕСТИЦИИ В ОСНОВНОЙ КАПИТАЛ, НАПРАВЛЕННЫЕ","","","",""
"","НА ОХРАНУ ОКРУЖАЮЩЕЙ СРЕДЫ И РАЦИОНАЛЬНОЕ","","","",""
"","ИСПОЛЬЗОВАНИЕ ПРИРОДНЫХ РЕСУРСОВ","","","",""
"","2014","2015","2016","2017","2018"
"","","","Тыс. рублей","",""
"","","","(в фактически действовавших ценах)","",""
"Инвестиции в основной капитал –","","","","",""
"всего","149859","183318","269508","82401","379875"
"в том числе:","","","","",""
"на охрану и рациональное исполь-","","","","",""
"зование водных ресурсов","32645","788","58058","-","176678"
"на охрану атмосферного воздуха","70022","3999","6930","…1)","23735"
"на охрану и рациональное исполь-","","","","",""
"зование земель","27319","176078","204520","…1)","179462"
"на другие мероприятия","19873","2453","-","…1)","-"
