"","25. ЦЕНЫ И ТАРИФЫ","","","",""
"","25.15. ИНДЕКСЫ ЦЕН СТРОИТЕЛЬНОЙ ПРОДУКЦИИ","","","",""
"","(декабрь к декабрю предыдущего года; в процентах)","","","",""
"","2014","2015","2016","2017","2018"
"Сводный индекс цен на продукцию","","","","",""
"(затраты, услуги) инвестиционного","","","","",""
"назначения","110,6","111,2","100,0","101,9","106,1"
"из него:","","","","",""
"индекс цен производителей на строи-","","","","",""
"тельную продукцию","107,9","105,3","101,0","102,8","103,9"
"индекс цен приобретения машин и обо-","","","","",""
"рудования инвестиционного назначения","113,0","120,1","97,8","101,1","108,9"
