"","23.21. РАСПРЕДЕЛЕНИЕ ОРГАНИЗАЦИЙ, ИМЕВШИХ ПРОСРОЧЕННУЮ","","",""
"","ЗАДОЛЖЕННОСТЬ ПОКУПАТЕЛЕЙ И ПОСТАВЩИКАМ,","","",""
"","ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ в 2018 г.","","",""
"","(на конец года)","","",""
"","Число организаций,","","Удельный вес организаций,",""
"","имевших просроченную","","имевших просроченную",""
"","задолженность","","задолженность, в общем",""
"","","","числе организаций,",""
"","","","процентов",""
"","покупателей","поставщикам","покупателей","поставщикам"
"Всего","170","118","28,8","19,8"
"в том числе по видам экономической","","","",""
"деятельности:","","","",""
"сельское, лесное хозяйство, охота,","","","",""
"рыболовство и рыбоводство","15","6","11,1","4,4"
"из них сельское хозяйство1)","15","6","12,1","4,8"
"добыча полезных ископаемых","1","-","16,7","-"
"обрабатывающие производства","24","12","17,9","9,0"
"из них:","","","",""
"производство пищевых продуктов","6","5","12,0","9,8"
"производство напитков","-","-","-","-"
"производство текстильных изделий","1","-","25,0","-"
"производство одежды","-","-","-","-"
"обработка древесины и производство","","","",""
"изделий из дерева и пробки, кроме мебели,","","","",""
"производство изделий из соломки и","","","",""
"материалов для плетения","-","-","-","-"
"производство бумаги и бумажных изделий","-","-","-","-"
"деятельность полиграфическая и","","","",""
"копирование носителей информации","1","-","33,3","-"
"производство кокса и нефтепродуктов","1","1","100,0","100,0"
"производство химических веществ и","","","",""
"химических продуктов","1","1","14,3","14,3"
"производство лекарственных средств и мате-","","","",""
"риалов, применяемых в медицинских целях","1","-","100,0","-"
"производство резиновых и пластмассовых","","","",""
"изделий","1","-","20,0","-"
"производство прочей неметаллической","","","",""
"минеральной продукции","3","1","37,5","12,5"
"производство металлургическое","1","1","33,3","33,3"
"производство готовых металлических","","","",""
"изделий, кроме машин и оборудования","3","1","23,1","7,7"
"производство компьютеров, электронных и","","","",""
"оптических изделий","-","-","-","-"
"производство электрического оборудования","1","-","50,0","-"
"производство машин и оборудования, не","","","",""
"включенных в другие группировки","-","-","-","-"
"производство автотранспортных средств,","","","",""
"прицепов и полуприцепов","1","1","33,3","33,3"
"производство прочих транспортных средств","","","",""
"и оборудования","1","-","25,0","-"
