"","ФИНАНСОВЫЕ ВЛОЖЕНИЯ","",""
"","24.9. ФИНАНСОВЫЕ ВЛОЖЕНИЯ ОРГАНИЗАЦИЙ","",""
"","ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ","",""
"","(без субъектов малого предпринимательства; миллионов рублей)","",""
"","","2018",""
"","Всего","","В том числе"
"","","долгосрочные","краткосрочные"
"Финансовые вложения – всего","695093,3","19634,2","675459,1"
"в том числе по видам экономической","","",""
"деятельности:","","",""
"сельское, лесное хозяйство, охота, рыболовство","","",""
"и рыбоводство","16297,6","335,5","15962,1"
"добыча полезных ископаемых","2433,7","-","2433,7"
"обрабатывающие производства","237321,8","1497,7","235824,1"
"обеспечение электрической энергией, газом и паром;","","",""
"кондиционирование воздуха","17037,5","3,5","17034,0"
"водоснабжение; водоотведение, организация сбора и","","",""
"утилизации отходов, деятельность по ликвидации за-","","",""
"грязнений","196,6","0,7","195,9"
"строительство","9577,7","31,7","9546,0"
"торговля оптовая и розничная; ремонт автотранс-","","",""
"портных средств и мотоциклов","383827,6","12314,5","371513,1"
"транспортировка и хранение","2138,9","161,0","1977,9"
"деятельность гостиниц и предприятий общественного","","",""
"питания","-","-","-"
"деятельность в области информации и связи","40,8","-","40,8"
"деятельность финансовая и страховая","…1)","…1)","…1)"
"деятельность по операциям  с недвижимым имущест-","","",""
"вом","17933,3","4954,2","12979,1"
"деятельность профессиональная, научная и","","",""
"техническая","3929,8","306,6","3623,2"
"деятельность административная и сопутствующие","","",""
"дополнительные услуги","…1)","-","…1)"
"государственное управление и обеспечение","","",""
"военной безопасности; социальное обеспечение","-","-","-"
"образование","…1)","…1)","…1)"
"деятельность в области здравоохранения и","","",""
"социальных услуг","1200,1","1,3","1198,8"
"деятельность в области культуры, спорта,","","",""
"организации досуга и развлечений","…1)","…1)","…1)"
"предоставление прочих видов услуг","-","-","-"
