"","","","","Продолжение табл. 25.6",""
"","2014","2015","2016","2017","2018"
"Коньяк ординарный отечественный, за л","998,09","1130,19","1117,89","1195,62","1180,87"
"Вино игристое отечественное, за л","239,32","262,97","292,63","303,40","326,27"
"Пиво отечественное, за л","74,41","83,25","90,90","96,78","101,80"
