"","","25.17. ИНДЕКСЫ ТАРИФОВ НА УСЛУГИ СВЯЗИ","","","","","","","",""
"","","ДЛЯ ЮРИДИЧЕСКИХ И ФИЗИЧЕСКИХ ЛИЦ","","","","","","","",""
"","","(декабрь к декабрю предыдущего года; в процентах)","","","","","","","",""
"","","2014","","2015","","2016","","2017","","2018"
"","Для","Для","Для","Для","Для","Для","Для","Для","Для","Для"
"","юриди-","физи-","юриди-","физи-","юриди-","физи-","юриди-","физи-","юриди-","физи-"
"","ческих","ческих","ческих","ческих","ческих","ческих","ческих","ческих","ческих","ческих"
"","лиц","лиц","лиц","лиц","лиц","лиц","лиц1)","лиц","лиц1)","лиц"
"Услуги связи","101,9","103,0","104,5","104,8","104,4","102,5","104,8","104,7","100,6","102,1"
"национальной","","","","","","","","","",""
"почты","107,2","105,3","111,5","113,3","110,4","111,8","113,8","115,8","100,7","100,0"
"местной  теле-","","","","","","","","","",""
"фонной связи","102,7","102,2","102,1","102,6","101,0","102,5","101,0","104,9","101,0","100,0"
"междугородной","","","","","","","","","",""
"телефонной связи","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0","100,0"
"проводного","","","","","","","","","",""
"радиовещания","100,0","100,0","100,0","100,0","100,0","233,3","100,0","100,0","100,0","107,1"
"документальной","","","","","","","","","",""
"электросвязи","101,2","105,4","101,5","106,9","101,2","107,4","100,2","…","100,6","…"
"подвижной связи","100,0","99,5","100,0","109,8","100,0","99,3","100,0","107,7","100,0","102,7"
