"","","","","","Продолжение табл. 4.23"
"","2014","2015","2016","2017","2018"
"Выбыло из Алтайского края – всего","5612","6319","8278","8976","9945"
"в том числе:","","","","",""
"в страны СНГ","4923","5736","7601","8296","9052"
"Белоруссия","20","33","22","27","42"
"Казахстан","1483","1994","2355","3053","3399"
"Молдавия","6","21","40","40","41"
"Украина","93","185","458","525","456"
"Азербайджан","208","176","302","431","388"
"Армения","394","367","607","536","573"
"Киргизия","229","329","310","229","277"
"Таджикистан","1557","1660","2179","2258","2667"
"Туркмения","58","38","40","30","18"
"Узбекистан","875","933","1288","1167","1191"
"в страны дального зарубежья","689","583","677","680","893"
