"","7 .14. ЭЛЕКТРОННЫЕ СРЕДСТВА ОБУЧЕНИЯ В ГОСУДАРСТВЕННЫХ И","","","",""
"","МУНИЦИПАЛЬНЫХ ВЫСШИХ ПРОФЕССИОНАЛЬНЫХ ОРГАНИЗАЦИЯХ","","","",""
"","","(на начало учебного года)","","",""
"","2014/15","2015/16","2016/17","2017/18","2018/19"
"Число персональных компьюте-","","","","",""
"ров, шт.","13014","13396","13528","13522","13433"
"из них:","","","","",""
"в составе локальных вычисли-","","","","",""
"тельных сетей","11759","12629","12971","12999","12966"
"имевшие доступ к сети Интер-","","","","",""
"нет","11328","12347","12554","12684","12637"
