"","10.3. ЧИСЛО ПРЕСТУПЛЕНИЙ, СОВЕРШЕННЫХ","","","",""
"","ОТДЕЛЬНЫМИ КАТЕГОРИЯМИ ЛИЦ","","","",""
"","2014","2015","2016","2017","2018"
"Число преступлений, совершенных:","","","","",""
"несовершеннолетними или при их соучастии","1239","1369","1310","1134","1081"
"лицами, ранее совершавшими преступления","16948","19158","19308","17755","17117"
"в группе","1605","1779","1643","1545","1479"
"из  них  организованной","180","175","94","150","57"
"в состоянии алкогольного опьянения","10782","12678","13875","11976","10864"
