"","","7.9.  ПРИЕМ В ГОСУДАРСТВЕННЫЕ И МУНИЦИПАЛЬНЫЕ","","",""
"","СРЕДНИЕ ПРОФЕССИОНАЛЬНЫЕ ОРГАНИЗАЦИИ ПО ВИДАМ ОБУЧЕНИЯ","","","",""
"","","","(человек)","",""
"Годы","Принято","","В том числе на отделения","",""
"","студентов –","","","",""
"","","очные","очно-заочные","заочные","экстернат"
"","всего","","","",""
"","","","(вечерние)","",""
"2014","9855","7788","121","1946","-"
"2015","10170","8200","191","1779","-"
"2016","14401","12554","223","1624","-"
"2017","15096","13194","231","1671","-"
"2018","15353","13510","198","1645","-"
