"","","4.24. ВНУТРИРЕГИОНАЛЬНАЯ МИГРАЦИЯ","","","",""
"","","","(человек)","","",""
"Годы","","Городское население","","","Сельское население",""
"","прибыло","выбыло","миграцион-","прибыло","выбыло","миграцион-"
"","","","ный прирост","","","ный прирост"
"2014","24829","20669","4160","27172","31332","-4160"
"2015","22580","20533","2047","26525","28572","-2047"
"2016","19733","18652","1081","23795","24876","-1081"
"2017","19466","17424","2042","21233","23275","-2042"
"2018","22952","18561","4391","22122","26513","-4391"
