"","3.6. ВЫБРОСЫ, УЛАВЛИВАНИЕ И УТИЛИЗАЦИЯ ЗАГРЯЗНЯЮЩИХ","","","",""
"","АТМОСФЕРУ ВЕЩЕСТВ, ОТХОДЯЩИХ ОТ СТАЦИОНАРНЫХ ИСТОЧНИКОВ","","","",""
"","2014","2015","2016","2017","2018"
"Выброшено в атмосферу загряз-","","","","",""
"няющих веществ – всего, тыс. т","203,1","204,5","213,3","204,2","192,0"
"Уловлено и обезврежено загряз-","","","","",""
"няющих веществ, тыс. т","548,1","548,8","576,1","613,9","600,9"
"в процентах от общего количе-","","","","",""
"ства загрязняющих веществ,","","","","",""
"отходящих от стационарных","","","","",""
"источников","73,0","72,9","73,0","75,0","75,4"
"Использовано (утилизировано)","","","","",""
"загрязняющих атмосферу ве-","","","","",""
"ществ, уловленных очистными","","","","",""
"установками, тыс. т","81,9","75,4","88,0","64,2","54,1"
"в процентах от общего количе-","","","","",""
"ства уловленных и обезврежен-","","","","",""
"ных загрязняющих атмосферу","","","","",""
"веществ","14,9","13,7","15,3","10,5","9,0"
