"","2014","2015","2016","2017","2018"
"Забор  воды  из  природных  ис-","","","","",""
"точников","439,6","411,9","406,8","387,4","374,9"
"в том числе из подземных","","","","",""
"источников","98,2","94,1","88,5","90,1","89,0"
"Потери  воды  при  транспорти-","","","","",""
"ровке","18,8","17,0","23,8","15,0","18,0"
"Водопотребление 
(использо-","","","","",""
"вание воды)","410,6","386,7","376,4","364,1","349,4"
"в том числе на производст-","","","","",""
"венные нужды2)","243,1","240,3","240,3","220,7","206,9"
"Объем оборотного и последо-","","","","",""
"вательного использования","","","","",""
"воды","827,5","908,2","868,4","814,8","816,7"
"Объем сброса нормативно","","","","",""
"очищенных вод","114,2","106,0","106,7","103,3","104,1"
"Объем сброса загрязненных","","","","",""
"сточных вод (без очистки и","","","","",""
"недостаточно очищенных)","10,7","16,2","18,1","17,3","17,3"
"в том числе без очистки","1,2","6,9","8,4","8,4","8,3"
