"","","","4.16. ЧИСЛО РОДИВШИХСЯ У ЖЕНЩИН,","","",""
"","","НЕ СОСТОЯВШИХ В ЗАРЕГИСТРИРОВАННОМ БРАКЕ","","","",""
"Годы","","Человек","","","В процентах от общего числа родившихся",""
"","все","городское","сельское","все","городское","сельское"
"","население","население","население","население","население","население"
"2014","7463","3479","3984","23,8","20,1","28,3"
"2015","6933","3434","3499","23,0","19,4","28,2"
"2016","6681","3244","3437","23,3","19,3","28,9"
"2017","5893","2739","3154","23,1","18,7","28,9"
"2018","5533","2536","2997","23,6","18,9","30,0"
