"","10.4. РАСПРЕДЕЛЕНИЕ  ОСУЖДЕННЫХ ПО ОСНОВНЫМ","","","",""
"","МЕРАМ НАКАЗАНИЯ, НАЗНАЧЕННЫМ СУДАМИ","","","",""
"","(в процентах к итогу)","","","",""
"","2014","2015","2016","2017","2018"
"Всего осуждено","100","100","100","100","100"
"в том числе:","","","","",""
"к лишению свободы","22,4","21,6","21,2","22,3","21,3"
"к исправительным работам","7,0","5,2","3,1","4,0","4,6"
"к условному осуждению  к лишению свободы и","","","","",""
"к иным мерам","43,5","38,4","40,6","41,7","42,9"
"к обязательным работам","12,2","13,4","22,7","20,9","19,4"
"к штрафу","9,9","6,2","7,5","7,2","7,7"
"к другим мерам наказания","4,1","2,6","2,7","3,1","3,0"
"освобождено осужденных от наказания по ам-","","","","",""
"нистии и другим основаниям","0,9","12,6","2,2","0,8","1,1"
