"","ПОКАЗАТЕЛИ СИСТЕМЫ НАЦИОНАЛЬНЫХ СЧЕТОВ","","",""
"","11.1. ОТДЕЛЬНЫЕ ЭЛЕМЕНТЫ СИСТЕМЫ НАЦИОНАЛЬНЫХ СЧЕТОВ","","",""
"","(в текущих ценах)","","",""
"","2014","2015","2016","2017"
"Валовой региональный продукт (валовая добавленная","","","",""
"стоимость в основных ценах), млрд рублей","446,0","487,9","501.9","508.8"
"Индекс физического объема валового регионального про-","","","",""
"дукта, в процентах к предыдущему году","100,4","100,5","99,0","100,5"
"Производство валового регионального продукта в расчете","","","",""
"на душу населения (в текущих ценах),  рублей","186799","204933","211658","215768"
"Место, занимаемое Алтайским краем в Российской Феде-","","","",""
"рации по производству валового регионального продукта","","","",""
"в расчете на душу населения","74","73","71","73"
"Фактическое конечное потребление домашних хо-","","","",""
"зяйств в рыночных ценах, млрд рублей","469,0","493,8","503.7","516.3"
"Фактическое конечное потребление домашних хозяйств в","","","",""
"расчете на душу населения, рублей","196412","207389","212429","218973"
"Валовое накопление основного капитала в рыночных","","","",""
"ценах, млрд рублей","102,0","82,2","-","-"
