"25.12. ИНДЕКСЫ ЦЕН ПРОИЗВОДИТЕЛЕЙ",""
"НА ОТДЕЛЬНЫЕ ВИДЫ ПРОМЫШЛЕННЫХ ТОВАРОВ",""
"(декабрь к декабрю предыдущего года; в процентах)",""
"","2018"
"Производство пищевых продуктов",""
"Мясо домашней птицы","121,1"
"Колбасы (колбаски) вареные мясные","104,2"
"Масло подсолнечное и его фракции нерафинированные","98,7"
"Масло подсолнечное и его фракции рафинированные","110,5"
"Продукты кисломолочные (кроме сметаны)","99,3"
"Молоко питьевое пастеризованное","96,1"
"Масло сливочное","110,8"
"Мука пшеничная","119,2"
"Крупа","101,2"
"Изделия хлебобулочные из ржаной муки и смеси ржаной и пшеничной муки","102,6"
"Изделия хлебобулочные из пшеничной муки","104,6"
"Печенье сладкое","93,3"
"Сахар белый свекловичный в твердом состоянии без вкусоароматических или",""
"красящих добавок","151,2"
"Конфеты, глазированные шоколадной и шоколадно-молочной глазурью","81,6"
"Изделия макаронные и аналогичные мучные изделия","97,7"
"Водка","100,0"
"Напитки безалкогольные прочие","103,9"
"Производство текстильных изделий",""
"Ткани хлопчатобумажные","106,9"
"Изделия чулочно-носочные трикотажные или вязаные","98,0"
"Брюки мужские или для мальчиков","100,0"
"Обработка древесины и производство изделий из дерева и пробки, кроме",""
"мебели, производство изделий из соломки и материалов для плетения",""
"Пиломатериалы хвойных пород","140,5"
"Фанера","170,0"
"Производство резиновых и пластмассовых изделий",""
"Шины, покрышки пневматические для автобусов и троллейбусов",""
"и грузовых автомобилей новые","104,3"
"Шины, покрышки пневматические для сельскохозяйственных машин","102,7"
"Шины, покрышки пневматические для легковых автомобилей новые","105,6"
"Производство прочей  неметаллической минеральной продукции",""
"Кирпич керамический неогнеупорный строительный","100,6"
