"","3.8. ОБРАЗОВАНИЕ, ИСПОЛЬЗОВАНИЕ И ОБЕЗВРЕЖИВАНИЕ ОТХОДОВ","","","",""
"","ПРОИЗВОДСТВА И ПОТРЕБЛЕНИЯ1)","","","",""
"","","(тысяч тонн)","","",""
"","2014","2015","2016","2017","2018"
"Образовано отходов","2957,2","3178,4","2833,4","11629,7","9030,9"
"Использовано отходов","1013,2","1274,4","754,5","8214,4","7423,8"
"Обезврежено отходов","8,3","25,0","43,5","27,1","40,6"
