"","23.20. ЗАДОЛЖЕННОСТЬ ПОКУПАТЕЛЕЙ (ЗАКАЗЧИКОВ)","","",""
"","И ПОСТАВЩИКАМ (ПОДРЯДЧИКАМ) ОРГАНИЗАЦИЙ","","",""
"","ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ в 2018 г.","","",""
"","(на конец года; миллионов рублей)","","",""
"","Задолженность покупателей","","","Задолженность поставщикам"
"","и заказчиков за товары,","","","и подрядчикам за товары,"
"","работы и услуги","","работы и услуги",""
"","всего","из нее","всего","из нее"
"","","просроченная","","просроченная"
"Всего","58336,1","3416,8","72097,6","3753,2"
"в том числе по видам экономической","","","",""
"деятельности:","","","",""
"сельское, лесное хозяйство, охота,","","","",""
"рыболовство и рыбоводство","3984,7","39,6","3146,3","7,8"
"из них сельское хозяйство1)","3945,4","39,6","3114,2","7,8"
"добыча полезных ископаемых","1350,1","…2)","1146,3","-"
"обрабатывающие производства","28677,2","1095,4","26177,2","867,8"
"из них:","","","",""
"производство пищевых продуктов","10293,8","35,4","5824,1","13,4"
"производство напитков","1472,7","-","427,1","-"
"производство текстильных изделий","121,0","…2)","431,3","-"
"производство одежды","…2)","-","…2)","-"
"обработка древесины и производство из-","","","",""
"делий из дерева и пробки, кроме мебели,","","","",""
"производство изделий из соломки и мате-","","","",""
"риалов для плетения","286,5","-","506,5","-"
"производство бумаги и бумажных изделий","…2)","-","…2)","-"
"деятельность полиграфическая и копиро-","","","",""
"вание носителей информации","4,4","…2)","0,6","-"
"производство кокса и нефтепродуктов","…2)","…2)","…2)","…2)"
"производство химических веществ и хи-","","","",""
"мических продуктов","2067,8","…2)","1195,0","…2)"
"производство лекарственных средств и","","","",""
"материалов, применяемых в медицинских","","","",""
"целях","…2)","…2)","…2)","-"
"производство резиновых и пластмассовых","","","",""
"изделий","2633,8","…2)","4413,2","-"
"производство прочей неметаллической","","","",""
"минеральной продукции","956,9","302,7","965,1","…2)"
"производство металлургическое","580,1","…2)","111,4","…2)"
"производство готовых металлических","","","",""
"изделий, кроме машин и оборудования","2054,1","40,3","1123,8","…2)"
"производство компьютеров, электронных","","","",""
"и оптических изделий","290,2","-","…2)","-"
"производство электрического","","","",""
"оборудования","…2)","…2)","…2)","-"
"производство машин и оборудования,","","","",""
"не включенных в другие группировки","438,9","-","601,9","-"
"производство автотранспортных средств,","","","",""
"прицепов и полуприцепов","704,3","…2)","763,0","…2)"
