"","23.22. ЗАДОЛЖЕННОСТЬ ОРГАНИЗАЦИЙ ПО ПОЛУЧЕННЫМ","","","",""
"","КРЕДИТАМ БАНКОВ И ПРЕДОСТАВЛЕННЫМ ЗАЙМАМ","","","",""
"","ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ в 2018 г.","","","",""
"","(на конец года)","","","",""
"","","Млн рублей","","В процентах к","Удельный"
"","","","","итогу","вес про-"
"","","","","","сроченной"
"","всего","из нее","всего","из нее",""
"","","","","","задолжен-"
"","","просро-","","просро-",""
"","","","","","ности в"
"","","ченная","","ченная",""
"","","","","","общей"
"","","","","","задол-"
"","","","","","женности"
"","","","","","по креди-"
"","","","","","там бан-"
"","","","","","ков и"
"","","","","","займам,"
"","","","","","процен-"
"","","","","","тов"
"Всего","86065,0","2376,6","100,0","100,0","2,8"
"в том числе по видам экономической","","","","",""
"деятельности:","","","","",""
"сельское, лесное хозяйство, охота, рыболовство","","","","",""
"и рыбоводство","10301,1","…2)","12,0","0,3","0,1"
"из них сельское хозяйство1)","10300,6","…2)","12,0","0,3","0,1"
"добыча полезных ископаемых","6263,5","-","7,3","-","-"
"обрабатывающие производства","34072,8","679,9","39,6","28,6","2,0"
"из них:","","","","",""
"производство пищевых продуктов","18270,1","…2)","21,2","4,0","0,5"
"производство напитков","994,8","-","1,2","-","-"
"производство текстильных изделий","1259,7","-","1,5","-","-"
"производство одежды","…2)","-","0,0","-","-"
"обработка древесины и производство изделий","","","","",""
"из дерева и пробки, кроме мебели, производст-","","","","",""
"во изделий из соломки и материалов для пле-","","","","",""
"тения","6028,1","-","7,0","-","-"
"производство бумаги и бумажных изделий","…2)","-","0,1","-","-"
"деятельность полиграфическая и копирование","","","","",""
"носителей информации","-","-","-","-","-"
"производство кокса и нефтепродуктов","…2)","-","0,7","-","-"
"производство химических веществ и химиче-","","","","",""
"ских продуктов","1237,6","-","1,4","-","-"
"производство лекарственных средств и мате-","","","","",""
"риалов, применяемых в медицинских целях","…2)","-","0,4","-","-"
"производство резиновых и пластмассовых","","","","",""
"изделий","138,7","-","0,2","-","-"
"производство прочей неметаллической мине-","","","","",""
"ральной продукции","1251,3","…2)","1,5","22,5","42,7"
"производство металлургическое","…2)","…2)","0,2","2,1","35,0"
"производство готовых металлических изделий,","","","","",""
"кроме машин и оборудования","2123,9","-","2,5","-","-"
"производство компьютеров, электронных и","","","","",""
"оптических изделий","-","-","-","-","-"
"производство электрического оборудования","…2)","-","0,1","-","-"
"производство машин и оборудования, не","","","","",""
"включенных в другие группировки","337,8","-","0,4","-","-"
"производство автотранспортных средств,","","","","",""
"прицепов и полуприцепов","825,2","-","1,0","-","-"
