"","6. УРОВЕНЬ ЖИЗНИ НАСЕЛЕНИЯ","","","",""
"","6.14. ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ С ДЕНЕЖНЫМИ ДОХОДАМИ НИЖЕ","","","",""
"","ВЕЛИЧИНЫ ПРОЖИТОЧНОГО МИНИМУМА И ДЕФИЦИТ ДЕНЕЖНОГО ДОХОДА","","","",""
"","2014","2015","2016","2017","2018"
"Численность населения с денежными","","","","",""
"доходами ниже прожиточного мини-","","","","",""
"мума","","","","",""
"тыс. человек","409,6","429,5","423,0","414,0","409,6"
"в процентах от общей численности","","","","",""
"населения","17,1","18,0","17,8","17,5","17,4"
"Дефицит денежного дохода","","","","",""
"млн рублей","902,6","1118,6","1113,1","1120,4","1139,6"
"в процентах от общего объема де-","","","","",""
"нежных доходов населения","2,1","2,2","2,2","2,1","2,1"
