"","","","","Продолжение табл. 11.6"
"","Ресурсы","","Использование",""
"","валовая","оплата труда","другие","валовая"
"","добавленная","наемных","чистые","прибыль"
"","стоимость","работников","налоги на","экономики"
"","","","производство","и валовые"
"","","","","смешанные"
"","","","","доходы"
"Деятельность административная и сопутст-","","","",""
"вующие дополнительные услуги","8341,3","1899,9","39,5","6401,9"
"Государственное управление и обеспечение","","","",""
"военной безопасности; социальное обеспече-","","","",""
"ние","35356,5","34236,0","117,2","1003,2"
"Образование","20553,1","18980,0","277,2","1296,0"
"Деятельность в области здравоохранения и","","","",""
"социальных услуг","27588,4","24135,3","333,5","3119,6"
"Деятельность в области культуры, спорта, ор-","","","",""
"ганизации досуга и развлечений","2657,4","1956,5","48,6","652,4"
"Предоставление прочих видов услуг","3725,2","779,8","18,6","2926,8"
"Деятельность домашних хозяйств как работо-","","","",""
"дателей","-","-","-","-"
"Итого по видам экономической деятельности","501889,3","200236,9","7919,5","293732,9"
"","","2017","",""
"Сельское, лесное хозяйство, охота, рыболовст-","","","",""
"во и рыбоводство","69657,6","15123,0","871,0","53663,6"
"Добыча полезных ископаемых","4649,0","1946,8","117,4","2584,9"
"Обрабатывающие производства","99902,4","36934,5","1546,3","61421,6"
"Обеспечение электрической энергией, газом и","","","",""
"паром; кондиционирование воздуха","13514,7","10134,7","840,2","2539,8"
"Водоснабжение; водоотведение, организация","","","",""
"сбора и утилизация отходов, деятельность по","","","",""
"ликвидации загрязнений","3971,0","1893,4","51,5","2026,1"
"Строительство","30383,2","6289,5","259,6","23834,1"
"Торговля оптовая и розничная; ремонт авто-","","","",""
"транспортных средств и мотоциклов","71177,7","26880,1","572,5","43725,1"
"Транспортировка и хранение","28869,8","12624,9","1511,4","14733,4"
"Деятельность гостиниц и предприятий обще-","","","",""
"ственного питания","6267,8","1919,3","35,7","4312,8"
"Деятельность в области информации и связи","15811,3","4300,4","278,2","11232,7"
"Деятельность финансовая и страховая","1347,7","631,2","1,7","714,7"
"Деятельность по операциям с недвижимым","","","",""
"имуществом","49440,7","3446,4","1462,9","44531,5"
"Деятельность профессиональная, научная и","","","",""
"техническая","10891,5","3607,5","78,5","7205,6"
"Деятельность административная и сопутст-","","","",""
"вующие дополнительные услуги","8263,9","1944,4","42,6","6276,9"
