"","9.2. ТЕАТРЫ","","","",""
"","(на конец года)","","","",""
"","2014","2015","2016","2017","2018"
"Число профессиональных театров – всего","6","6","6","6","7"
"в том числе:","","","","",""
"драматические","3","3","3","3","3"
"музыкальной комедии","1","1","1","1","1"
"юного зрителя","1","1","1","1","1"
"кукол","1","1","1","1","2"
"Численность зрителей, тыс. человек","426,7","390,2","411,1","424,7","437,8"
"на 1000 человек населения, посещений","179","166","173","180","187"
"","9.3. МУЗЕИ","","","",""
"","(на конец года)","","","",""
"","2014","2015","2016","2017","2018"
"Число музеев – всего","58","58","54","53","57"
"Число посещений музеев, тыс.","486,0","471,9","427,2","441,0","447,5"
"в том числе:","","","","",""
"индивидуальные","234,2","234,8","217,2","246,8","250,7"
"экскурсионные","251,8","237,1","210,0","194,2","196,8"
"на 1000 человек населения, ед.","204","198","180","187","191"
"Число экскурсий, проведенных музеями","14975","15227","13262","13142","13566"
"Число выставок -  всего, единиц","1451","1514","1412","1777","1982"
"из них:","","","","",""
"в музее из собственных фондов","753","740","724","910","929"
"вне музея из собственных фондов","338","387","330","467","591"
