"","","","","","Продолжение табл. 4.6"
"","2015","2016","2017","2018","2019"
"40-44","1111","1112","1118","1116","1117"
"45-49","1143","1144","1142","1150","1159"
"50-54","1227","1213","1211","1203","1194"
"55-59","1370","1355","1342","1338","1328"
"60-64","1517","1516","1511","1514","1508"
"65-69","1672","1694","1699","1697","1705"
"70 и более","2631","2638","2633","2598","2554"
"Сельское население","1121","1121","1120","1119","1117"
"из него в возрасте, лет:","","","","",""
"0-4","958","962","966","961","947"
"5-9","946","946","945","955","961"
"10-14","939","937","938","937","931"
"15-19","943","961","969","967","962"
"20-24","848","857","867","937","987"
"25-29","922","878","853","784","739"
"30-34","1028","1023","1000","970","928"
"35-39","1056","1055","1054","1044","1042"
"40-44","1060","1067","1069","1072","1070"
"45-49","1073","1081","1083","1087","1083"
"50-54","1103","1107","1107","1106","1111"
"55-59","1126","1123","1128","1133","1137"
"60-64","1224","1221","1219","1213","1207"
"65-69","1371","1359","1356","1350","1342"
"70 и более","2243","2258","2234","2179","2135"
