"","5.14. УДЕЛЬНЫЙ ВЕС ЧИСЛЕННОСТИ РАБОТНИКОВ, ЗАНЯТЫХ","","","",""
"","ВО ВРЕДНЫХ УСЛОВИЯХ ТРУДА, ПО ВИДАМ ВОЗДЕЙСТВУЮЩИХ","","","",""
"","ПРОИЗВОДСТВЕННЫХ ФАКТОРОВ в 2018 г.","","","",""
"","(на конец года; в пpоцентах от общей численности pаботников","","","",""
"","соответствующего вида экономической деятельности)","","","",""
"","Занятые","","Работали под воздействием факторов","",""
"","на работах","","производственной сферы","",""
"","с вредными","","","",""
"","","шума,","вибpации","аэрозолей","химиче-"
"","и (или) опас-","","","",""
"","","ультpа-","(общей и","преиму-","ского"
"","ными усло-","","","",""
"","","инфpа-","локаль-","щественно","фактора"
"","виями  труда","","","",""
"","","звука","ной)","фибро-",""
"","","","","генного",""
"","","","","действия",""
"Сельское, лесное хозяйство, охота, рыболовство","","","","",""
"и рыбоводство","42,7","14,1","7,4","3,4","11,1"
"Добыча полезных ископаемых","50,8","22,6","8,4","1,8","1,1"
"Обрабатывающие производства","43,9","25,6","7,3","7,6","15,7"
"Обеспечение электрической энергией, газом и","","","","",""
"паром; кондиционирование воздуха","50,2","15,2","3,0","6,6","5,3"
"Водоснабжение; водоотведение, организация","","","","",""
"сбора и утилизации отходов, деятельность по","","","","",""
"ликвидации загрязнений","38,2","17,1","0,5","1,4","10,3"
"Строительство","51,6","18,4","9,7","5,5","4,9"
"Транспортировка и хранение","36,3","8,0","7,3","0,7","3,2"
"Деятельность в области информатизации и","","","","",""
"связи","1,3","0,2","-","0,0","0,0"
