"","","4.10. РАСПРЕДЕЛЕНИЕ ГОРОДОВ И ПОСЕЛКОВ","","","","","","","",""
"","","ГОРОДСКОГО ТИПА ПО ЧИСЛУ ЖИТЕЛЕЙ","","","","","","","",""
"","","(оценка на  1 января соответствующего года)","","","","","","","",""
"","","","Число городов и","","","","","Численность населения,","",""
"","","поселков городского типа","","","","","","тыс. человек","",""
"","2015","2016","2017","2018","2019","2015","2016","2017","2018","2019"
"Гоpода и поселки","","","","","","","","","",""
"гоpодского типа","18","18","18","18","18","1335,6","1335,3","1331,5","1326,4","1322,6"
"из них с числом жите-","","","","","","","","","",""
"лей, тыс. человек:","","","","","","","","","",""
"до 3","-","-","","","","-","-","","","-"
"3-4,9","1","1","1","1","1","3,3","3,2","3,1","3,0","3,0"
"5-9,9","1","1","1","1","1","6,5","6,4","6,3","6,3","6,3"
"10-19,9","7","7","8","8","8","99,1","99,1","119,6","119,0","1181,1"
"20-49,9","5","5","4","4","4","168,2","167,7","147,1","146,3","145,5"
"50 -99,9","1","1","1","1","1","72,3","73,1","73,7","73,4","73,8"
"100-499,9","2","2","2","2","2","350,7","350,2","348,4","346,0","343,2"
"500-999,9","1","1","1","1","1","635,5","635,6","633,3","632,4","632,7"
"Гоpода – всего","12","12","12","12","12","1263,3","1263,4","1259,5","1254,6","1251,2"
"из них с числом  жи-","","","","","","","","","",""
"телей, тыс. человек:","","","","","","","","","",""
"до 3","-","","","","","-","-","-","-","-"
"3-4,9","-","","","","","-","-","-","-","-"
