"","7.6. ЧИСЛЕННОСТЬ ПЕДАГОГИЧЕСКИХ РАБОТНИКОВ ГОСУДАРСТВЕННЫХ И","",""
"","МУНИЦИПАЛЬНЫХ ОРГАНИЗАЦИЙ, РЕАЛИЗУЮЩИХ ПРОГРАММЫ","",""
"","ОБЩЕГО ОБРАЗОВАНИЯ на начало 2018/19 учебного года","",""
"","Всего","","Из них имеют образование"
"","(без совмес-","",""
"","","высшее","сpеднее  
сpеднее"
"","тителей),","",""
"","","педагогическое","профессиональное  
профессиональное"
"","человек","",""
"","","","образование  
образование"
"","","","по программам  
по программам"
"","","","подготовки  
подготовки"
"","","","специалистов  
квалифицированных"
"","","","среднего звена, 
рабочих, служащих"
"","","","педагогическое"
"Всего по краю","","",""
"Педагогический состав","21273","16763","3688 
70"
"в том числе учителя","19532","15665","3266 
58"
"Городская местность","","",""
"Педагогический состав","8428","7092","989 
17"
"в том числе учителя","7487","6441","840 
16"
"Сельская местность","","",""
"Педагогический состав","12845","9671","2699 
53"
"в том числе учителя","12045","9224","2426 
42"
