"","4.5. РАСПРЕДЕЛЕНИЕ НАСЕЛЕНИЯ ПО ВОЗРАСТНЫМ ГРУППАМ","","","",""
"","","(на 1 января; человек)","","",""
"","2015","2016","2017","2018","2019"
"Все население","2384812","2376774","2365680","2350080","2332813"
"в том числе в возрасте:","","","","",""
"0-4","155261","155171","153226","145911","137254"
"5-9","136313","140707","146060","150476","151813"
"10-14","122528","124254","125311","127460","130939"
"15-19","106181","106441","107553","110683","114659"
"20-24","139478","127225","117407","108984","105561"
"25-29","186729","181159","171914","160284","146541"
"30-34","193445","192318","191302","188363","183358"
"35-39","176800","177068","177900","180465","183754"
"40-44","162427","166526","168912","169388","169987"
"45-49","134701","136034","138953","144789","149928"
"50-54","175678","160662","147891","137969","130964"
"55-59","203598","202755","199428","190619","179161"
"60-64","165455","170710","174259","180983","185925"
"65-69","110898","128037","137765","140819","143457"
"70 и старше","215320","207677","207799","212887","219512"
"Из общей численности –","","","","",""
"население в возрасте:","","","","",""
"моложе трудоспособного","435636","443058","447494","448374","445745"
"трудоспособном","1344843","1315440","1288461","1261903","1239425"
"старше трудоспособного","604333","618276","629725","639803","647643"
"Городское население","1335638","1335334","1331474","1326398","1322614"
"в том числе в возрасте:","","","","",""
"0-4","83674","85257","85956","83068","79117"
"5-9","71631","74377","77376","80429","82221"
"10-14","61720","63524","64697","66382","68732"
"15-19","56490","57119","57356","58955","61724"
"20-24","100359","87024","73782","62555","57904"
"25-29","125459","125176","123058","118439","108523"
"30-34","120313","121363","122687","122904","122527"
"35-39","102789","103958","105465","108768","113078"
"40-44","92974","95419","96795","97255","97862"
"45-49","73298","75003","77565","81419","85052"
"50-54","88418","82018","76600","72677","70177"
"55-59","99378","99025","97640","94056","89181"
"60-64","84307","85778","86791","89426","91854"
"65-69","60628","69115","73509","74336","74708"
"70 и старше","114200","111178","112197","15729","119954"
"Из общей численности –","","","","",""
"население в возрасте:","","","","",""
"моложе трудоспособного","227576","234550","239605","242210","243253"
"трудоспособном","791476","777735","763416","750875","741972"
"старше трудоспособного","316586","323049","328453","333313","337389"
"Сельское население","1049174","1041440","1034206","1023682","1010199"
"в том числе в возрасте:","","","","",""
"0-4","71587","69914","67270","62843","58137"
"5-9","64682","66330","68684","70047","69592"
