"","","25.2. ИНДЕКСЫ ЦЕН (ТАРИФОВ) НА ТОВАРЫ И УСЛУГИ","",""
"","","(декабрь к декабрю предыдущего года; в процентах)","",""
"","Все товары и","","В том числе",""
"","услуги","","",""
"","","продовольственные","непродовольственные","услуги"
"","","товары","товары",""
"2014","111,2","115,4","108,8","108,6"
"2015","112,4","112,4","114,2","108,6"
"2016","105,8","104,3","107,5","105,0"
"2017","101,8","99,0","103,1","103,9"
"2018","104,1","104,1","104,6","103,3"
