"","25.7. СООТНОШЕНИЕ ПОТРЕБИТЕЛЬСКИХ ЦЕН НА ОСНОВНЫЕ ВИДЫ","","","",""
"","ПРОДОВОЛЬСТВЕННЫХ ТОВАРОВ С ЦЕНОЙ НА ГОВЯДИНУ1)","","","",""
"","(на конец года; в процентах)","","","",""
"","2014","2015","2016","2017","2018"
"Говядина (кроме бескостного мяса)","100","100","100","100","100"
"Свинина (кроме бескостного мяса)","102","90","90","87","86"
"Масло сливочное","119","109","159","161","150"
"Сыры сычужные твердые и мягкие","132","125","150","145","152"
"Молоко питьевое цельное пастеризованное","18","15","17","17","16"
"Яйца куриные","20","19","20","16","19"
"Сахар-песок","19","18","18","13","16"
"Хлеб из пшеничной муки высшего сорта","26","25","27","26","24"
"Рис","19","22","20","21","20"
"Макаронные изделия","18","19","21","21","18"
"Картофель","9","7","6","6","6"
"Капуста  свежая","9","7","4","5","6"
"Морковь","11","9","7","8","7"
"Лук репчатый","12","8","7","8","6"
"Яблоки","32","32","32","34","31"
