"","9.4. УЧРЕЖДЕНИЯ КУЛЬТУРНО-ДОСУГОВОГО ТИПА","","","",""
"","(на конец года)","","","",""
"","2014","2015","2016","2017","2018"
"Число клубных учреждений – всего","1178","1152","1124","1097","1069"
"в том числе:","","","","",""
"в сельской местности","1130","1104","1076","1056","1029"
"Число мест в зрительных залах – всего, тыс.","180,6","179,1","173,1","165,8","163,0"
"в том числе:","","","","",""
"в сельской местности","166,7","163,5","159,7","152,7","149,5"
"На 1000 человек населения мест в зрительных залах, ед.","75,8","75,3","72,9","70,3","69,5"
"Число культурно-досуговых формирований, тыс.","9,5","9,2","9,3","9,5","9,6"
"в них участников, тыс. человек","121,2","118,6","121,4","122,0","126,3"
