"","6.3. СОСТАВ ДЕНЕЖНЫХ ДОХОДОВ НАСЕЛЕНИЯ","","","",""
"","2014","2015","2016","2017","2018"
"","","","Млн рублей","",""
"Денежные доходы – всего","524084,2","595965,2","604832,3","626402,5","641442,7"
"в том числе:","","","","",""
"доходы от предпринимательской деятельности","45007,8","53549,1","50002,2","49011,4","47124,9"
"оплата труда","256083,1","266366,2","269344,2","279759,3","299024,9"
"социальные выплаты","132295,7","145446,0","153527,8","159651,8","163330,3"
"доходы от собственности","16293,6","18076,8","19463,4","17619,0","18315,3"
"другие доходы","74404,0","112527,1","112494,7","120361,0","113647,3"
"","","","В процентах к итогу","",""
"Денежные доходы – всего","100","100","100","100","100"
"в том числе:","","","","",""
"доходы от предпринимательской деятельности","8,6","9,0","8,3","7,8","7,3"
"оплата труда","48,9","44,7","44,5","44,7","46,6"
"социальные выплаты","25,2","24,4","25,4","25,5","25,5"
"доходы от собственности","3,1","3,0","3,2","2,8","2,9"
"другие доходы","14,2","18,9","18,6","19,2","17,7"
