"","","","","","Продолжение табл. 3.9"
"","2014","2015","2016","2017","2018"
"","","","В процентах к итогу","",""
"Инвестиции в основной капитал –","","","","",""
"всего","100","100","100","100","100"
"из них:","","","","",""
"на охрану и рациональное исполь-","","","","",""
"зование водных ресурсов","21,8","0,4","21,5","-","46,5"
"на охрану атмосферного воздуха","46,7","2,2","2,6","…1)","6,3"
"на охрану и рациональное исполь-","","","","",""
"зование земель","18,2","96,1","75,9","…1)","47,2"
"на другие мероприятия","13,3","1,3","-","…1)","-"
