"","","4.14. ОЖИДАЕМАЯ ПРОДОЛЖИТЕЛЬНОСТЬ ЖИЗНИ ПРИ РОЖДЕНИИ","","","","","","",""
"","","","","(число лет)","","","","",""
"Годы","","Все население","","","Городское население","","","Сельское население",""
"","всего","","мужчины  женщины","всего","","мужчины  женщины","всего","","мужчины  женщины"
"2014","70,01","64,33","75,72","70,84","65,02","76,31","68,78","63,14","74,95"
"2015","70,44","64,97","75,84","71,13","65,43","76,41","69,32","64,01","75,00"
"2016","70,74","65,12","76,34","71,50","65,62","76,99","69,62","64,24","75,42"
"2017","71,10","65,71","76,39","71,65","65,84","77,04","70,22","65,28","75,38"
"2018","71,11","65,74","76,40","71,65","66,03","76,85","70,20","65,06","75,73"
