"","","","","","Продолжение табл. 6.6"
"","2014","2015","2016","2017","2018"
"Соотношение среднего размера назначенных","","","","",""
"месячных пенсий (на конец года), процентов","","","","",""
"с величиной прожиточного минимума пен-","","","","",""
"сионера","162,9","154,8","231,73)","174,8","162,2"
"со среднемесячной номинальной начислен-","","","","",""
"ной заработной платой (январь)","54,7","57,6","80,73)","54,3","54,2"
