"","","","","Продолжение табл. 23.22",""
"","Млн рублей","","В процентах к итогу","","Удельный"
"","","","","","вес про-"
"","всего","из нее","всего","из нее",""
"","","","","","сроченной"
"","","просро-","","просро-",""
"","","","","","задолжен-"
"","","ченная","","ченная",""
"","","","","","ности в"
"","","","","","общей"
"","","","","","задол-"
"","","","","","женности"
"","","","","","по креди-"
"","","","","","там бан-"
"","","","","","ков и"
"","","","","","займам,"
"","","","","","процен-"
"","","","","","тов"
"производство прочих транспортных средств и","","","","",""
"оборудования","…2)","-","0,2","-","-"
"производство мебели","…2)","-","0,0","-","-"
"производство прочих готовых изделий","-","-","-","-","-"
"обеспечение электрической энергией, газом и","","","","",""
"паром; кондиционирование воздуха","12954,1","420,9","15,1","17,7","3,2"
"водоснабжение; водоотведение, организация","","","","",""
"сбора и утилизации отходов, деятельность по","","","","",""
"ликвидации загрязнений","862,2","-","1,0","-","-"
"строительство","1836,5","…2)","2,1","52,8","68,3"
"торговля оптовая и розничная; ремонт","","","","",""
"автотранспортных средств и мотоциклов","16481,9","…2)","19,1","0,5","0,1"
"в том числе:","","","","",""
"торговля оптовая и розничная автотранспорт-","","","","",""
"ными средствами и мотоциклами и их ремонт","1053,5","-","1,2","-","-"
"торговля оптовая, кроме оптовой торговли ав-","","","","",""
"тотранспортными средствами и мотоциклами","8807,4","…2)","10,2","0,5","0,1"
"торговля розничная, кроме торговли авто-","","","","",""
"транспортными средствами и мотоциклами","6621,0","-","7,7","-","-"
"транспортировка и хранение","1801,7","…2)","2,1","0,0","0,1"
"деятельность гостиниц и предприятий","","","","",""
"общественного питания","-","-","-","-","-"
"деятельность в области информации и связи","…2)","-","0,0","-","-"
"деятельность финансовая и страховая","-","-","-","-","-"
"деятельность по операциям с недвижимым","","","","",""
"имуществом","933,9","-","1,1","-","-"
"деятельность профессиональная, научная и","","","","",""
"техническая","…2)","-","0,1","-","-"
"деятельность административная и","","","","",""
"сопутствующие дополнительные услуги","…2)","-","0,3","-","-"
"государственное управление и обеспечение","","","","",""
"военной безопасности; социальное обеспечение","-","-","-","-","-"
"образование","…2)","-","0,0","-","-"
"деятельность в области здравоохранения и","","","","",""
"социальных услуг","144,2","-","0,2","-","-"
"деятельность в области культуры, спорта,","","","","",""
"организации досуга и развлечений","-","-","-","-","-"
"предоставление прочих видов услуг","…2)","…2)","0,0","0,0","100,0"
