"","6.16. ПОКУПАТЕЛЬНАЯ СПОСОБНОСТЬ","","","",""
"","СРЕДНЕДУШЕВЫХ ДЕНЕЖНЫХ ДОХОДОВ НАСЕЛЕНИ","","","",""
"","2014","2015","2016","2017","2018"
"","","Продовольственные товары, кг в месяц","","",""
"Говядина (кроме бескостного мяса)","82","76","78","82","82"
"Свинина (кроме бескостного мяса)","77","81","89","93","95"
"Молоко питьевое, л","383","410","408","409","415"
"Творог","86","87","86","82","83"
"Сыры сычужные твердые","62","66","59","55","55"
"Яйца куриные, 10 шт.","451","443","445","494","502"
"Рыба свежая (кроме лососевых пород и рыбного филе)","175","160","152","158","147"
"Сахар-песок","495","396","397","510","573"
"Масло подсолнечное","330","277","231","270","281"
"Масло сливочное","69","72","63","51","52"
"Картофель","709","923","1104","943","998"
