"","7.10. ВЫПУСК СПЕЦИАЛИСТОВ ГОСУДАРСТВЕННЫМИ И МУНИЦИПАЛЬНЫМИ","","","",""
"","СРЕДНИМИ ПРОФЕССИОНАЛЬНЫМИ ОРГАНИЗАЦИЯМИ ПО ВИДАМ ОБУЧЕНИЯ","","","",""
"","","","(человек)","",""
"Годы","Выпущено","","В том числе обучавшихся на отделениях","",""
"","специалистов –","","","",""
"","","очных","очно-заочных","заочных","экстернат"
"","всего, человек","","","",""
"","","","(вечерних)","",""
"2014","6593","5125","149","1319","-"
"2015","6264","4993","77","1194","-"
"2016","11369","9679","100","1321","269"
"2017","11517","9966","163","1388","-"
"2018","11154","9719","174","1261","-"
