"","7.2. УРОВЕНЬ ОБРАЗОВАНИЯ НАСЕЛЕНИЯ ПО ВОЗРАСТНЫМ ГРУППАМ","","","",""
"","","(по данным микропереписи населения 2015 г.)","","",""
"","Ука-","","На 1000 человек соответствующего возраста,","",""
"","завшие","","указавших уровень образования, приходится лиц","",""
"","уровень","","","",""
"","","имеющих профессиональное образование","","имеющих общее образование","не"
"","образо-","","","",""
"","","","","","имею-"
"","","высшее  неполное","среднее 
из них 
сре- 
основ-
началь-","дошко-",""
"","вания,","","","",""
"","","","","","щих"
"","","высшее","нее 
ное 
ное","льное",""
"","","","по про- 
по про-","",""
"","человек","","","",""
"","","","","","обра-"
"","","(незакон-","(пол-
(непол-","",""
"","","","грамме 
грамме","",""
"","","","","","зова-"
"","","ченное","ное) 
ное)","",""
"","","","подго-
подго-","",""
"","","","","","ния"
"","","высшее)","среднее","",""
"","","","товки 
товки","",""
"","","","специа- 
квали-","",""
"","","","листов 
фициро-","",""
"","","","среднего 
ванных","",""
"","","","звена 
рабочих,","",""
"","","","(среднее 
служа-","",""
"","","","специ-
щих","",""
"","","","альное) 
(началь-","",""
"","","","ное","",""
"","","","профес-","",""
"","","","сиональ-","",""
"","","","ное)","",""
"Все населе-","","","","",""
"ние в воз-","","","","",""
"расте 6 лет","","","","",""
"и более","31846","177 
17","394 
295 
99 
161 
103 
91","47","10"
"6-7","883","","","907","93"
"8-9","737","","","927","73"
"10-14","1808","","57 
916","","27"
"15-17","976","","185 
640 
166","","9"
"18-19","533","71","176 
118 
58 
567 
176 
4","","6"
"20-24","1495","185 
116","392 
284 
108 
239 
60 
5","","3"
"25-29","2394","334 
35","412 
308 
104 
136 
69 
10","","4"
"30-34","2618","320 
28","414 
304 
110 
148 
72 
14","","4"
"35-39","2453","271 
20","444 
326 
118 
164 
89 
7","","5"
"40-44","2395","228 
16","518 
375 
143 
171 
60 
4","","3"
"45-49","1976","231 
16","534 
389 
145 
175 
40 
2","","2"
"50-54","2488","171 
7","571 
445 
126 
205 
39 
4","","3"
"55-59","3173","155 
6","556 
416 
140 
213 
63 
6","","1"
"60-64","2690","148 
3","530 
401 
129 
207 
98 
12","","2"
"65-69","1990","173 
3","473 
371 
102 
183 
140 
24","","4"
"70 и бо-","","","","",""
"лее","3237","125 
6","262 
206 
56 
96 
224 
272","","15"
