"","7.13. ВЫПУСК СПЕЦИАЛИСТОВ ВЫСШИМИ ПРОФЕССИОНАЛЬНЫМИ","","","","",""
"","","ОРГАНИЗАЦИЯМИ ПО ВИДАМ ОБУЧЕНИЯ","","","",""
"","","","(человек)","","",""
"Годы","Выпущено","","","В том числе обучавшихся на отделениях","",""
"","специалистов –","","","","",""
"","","очных","","очно-заочных","заочных","экстернат"
"","всего","","","","",""
"","","","","(вечерних)","",""
"","","","Всего","","",""
"2014","14836","7159","","362","7315","-"
"2015","15092","7986","","283","6823",""
"2016","13265","6000","","274","6735","256"
"2017","10458","5880","","160","4411","7"
"2018","10255","6234","","102","3919","-"
"","","","Государственные и муниципальные","","",""
"","","","высшие профессиональные организации","","",""
"2014","12852","6658","","354","5840","-"
"2015","13394","7415","","283","5696","-"
"2016","12009","5712","","274","5767","256"
"2017","10023","5837","","160","4019","7"
"2018","9993","6188","","102","3703","-"
"","","Негосударственные высшие профессиональные организации","","","",""
"2014","1984","501","","8","1475","-"
"2015","1698","571","","-","1127","-"
"2016","1256","288","","-","968","-"
"2017","435","43","","-","392","-"
"2018","262","46","","-","216","-"
