"","","","","Продолжение табл. 6.17",""
"","2014","2015","2016","2017","2018"
"Крупы","751","582","541","655","874"
"Макаронные изделия","470","412","388","403","491"
"","","Непродовольственные товары, шт. в месяц","","",""
"Костюм-двойка мужской","3,6","3,3","3,1","3,0","3,4"
"Сорочка верхняя мужская","24,6","20,3","17,2","16,2","17,2"
"Брюки мужские","11,9","10,9","10,2","10,2","10,8"
"Юбка женская","13,6","12,9","12,7","12,8","14,4"
"Блузка женская","12,0","11,5","11,3","11,4","12,9"
"Джемпер взрослый","15,3","14,2","13,6","13,7","14,5"
"","Платные услуги, оказываемые населению,","","","",""
"","","","платежей в месяц","",""
"Плата за жилье в домах государственного и муници-","","","","",""
"пального жилищных фондов, за 1 м2 общей площади","1352","982","1002","1058","1110"
"Плата за электроэнергию, за 100 кВт·ч","67","66","66","68","73"
"Плата за горячее водоснабжение, м3","217","205","190","187","197"
"Плата за водоснабжение холодное и водоотведение, м3","691","631","571","563","609"
"Плата за газ сетевой","281","275","277","289","314"
"Абонентская плата за неограниченный объем местных","","","","",""
"телефонных соединений","50","50","52","54","57"
"Поездка в городском автобусе, поездок","1383","1340","1279","1223","1343"
