"","6.24. НАЛИЧИЕ ПРЕДМЕТОВ ДЛИТЕЛЬНОГО ПОЛЬЗОВАНИЯ","","","",""
"","ПО ГРУППАМ НАСЕЛЕНИЯ С РАЗЛИЧНЫМ УРОВНЕМ ДОХОДОВ в 2018 г.","","","",""
"","(по материалам выборочного обследования бюджетов домашних","","","",""
"","хозяйств; на конец года; на 100 домохозяйств; штук)","","","",""
"","","Группы населения в зависимости от уровня доходов1)","","",""
"","первая","вторая","третья","четвертая","пятая"
"","(с наи-","","","","(с наи-"
"","меньими","","","","большими"
"","доходами)","","","","доходами)"
"Телевизоры","135","144","144","160","189"
"Видеомагнитофоны, видеокамеры","34","51","43","45","50"
"Магнитофоны, плееры","13","21","7","23","6"
"Персональные, портативные компьютеры","97","107","96","114","147"
"Музыкальные центры","16","27","17","15","24"
"Холодильники, морозильники","120","135","135","164","153"
"Стиральные машины","101","105","105","97","106"
"Электропылесосы","91","98","96","97","110"
"Швейные, вязальные машины","29","40","50","55","61"
