"","","","","Продолжение табл. 5.13"
"","Принято на работу","","Выбыло работников",""
"","тыс.","в процентах","тыс.","в процентах"
"","человек","от списочной","человек","от списочной"
"","","численности","","численности"
"","","на конец","","на конец"
"","","отчетного","","отчетного"
"","","периода","","периода"
"деятельность профессиональная, научная","","","",""
"и техническая","1,4","21,6","1,6","24,5"
"деятельность административная и сопут-","","","",""
"ствующие дополнительные услуги","1,3","30,8","1,5","34,9"
"государственное управление и обеспече-","","","",""
"ние военной безопасности; социальное","","","",""
"обеспечение","8,4","14,3","9,3","15,8"
"образование","17,6","21,5","17,9","21,9"
"деятельность в области здравоохранения и","","","",""
"социальных услуг","15,5","21,8","15,8","22,1"
"деятельность в области культуры, спорта,","","","",""
"организации досуга и развлечений","2,0","28,4","2,0","28,5"
"предоставление прочих видов услуг","0,6","44,9","0,7","59,4"
