"","","","","Продолжение табл. 7.7"
"","Всего","","Из них имеют обpазование",""
"","(без совместите-","","",""
"","","высшее","сpеднее профессиональное",""
"","лей), человек","","",""
"","","","по программам подготовки",""
"","","","специалистов","квалифицированных"
"","","","среднего звена","рабочих, служащих"
"трудового обучения (тех-","","","",""
"нологии)","923","595","291","18"
"музыки и пения","363","198","157","2"
"изобразительного искусст-","","","",""
"ва, черчения","285","191","87","-"
"основ безопасности жизне-","","","",""
"деятельности","155","120","32","1"
"прочих предметов","101","77","18","-"
