"","10.5. ЧИСЛО ОСУЖДЕННЫХ ПО ПРИГОВОРАМ СУДОВ, ВСТУПИВШИМ","","","",""
"","В ЗАКОННУЮ СИЛУ,  ПО ОТДЕЛЬНЫМ ВИДАМ ПРЕСТУПЛЕНИЙ","","","",""
"","(человек)","","","",""
"","2014","2015","2016","2017","2018"
"Число осужденных – всего","15825","15079","16101","15132","15166"
"из них за преступления:","","","","",""
"убийство и покушение на убийство","181","182","176","160","125"
"умышленное тяжкое телесное повреждение","703","582","614","535","515"
"изнасилование и покушение на изнасилование","77","54","41","27","38"
"разбой","130","97","118","134","116"
"грабеж","578","458","442","382","417"
"кражу","4831","4430","4335","4225","4000"
"преступления, связанные с незаконным оборо-","","","","",""
"том наркотических, психотропных и сильно-","","","","",""
"действующих средств","2695","2464","2308","2100","2249"
"нарушения правил дорожного движения и экс-","","","","",""
"плуатации транспортных средств,  повлекшие по","","","","",""
"неосторожности смерть человека","90","60","49","62","54"
