"","7.7.  ЧИСЛЕННОСТЬ УЧИТЕЛЕЙ ГОСУДАРСТВЕННЫХ ОБЩЕОБРАЗОВАТЕЛЬНЫХ","","",""
"","ОРГАНИЗАЦИЙ ПО СПЕЦИАЛЬНОСТЯМ И УРОВНЮ ОБРАЗОВАНИЯ","","",""
"","","на 1 октября 2018 г.","",""
"","Всего","","Из них имеют обpазование",""
"","(без совместите-","","",""
"","","высшее","сpеднее профессиональное",""
"","лей), человек","","",""
"","","","по программам подготовки",""
"","","","специалистов","квалифицированных"
"","","","среднего звена","рабочих, служащих"
"Всего","19532","15992","3266","58"
"в том числе:","","","",""
"учителя, осуществляющие","","","",""
"деятельность по реализа-","","","",""
"ции программ начального","","","",""
"общего образования","5788","3976","1734","18"
"русского языка и литерату-","","","",""
"ры","2423","2281","120","1"
"истоpия, экономика, пpаво","","","",""
"и обществознание","1329","1260","57","2"
"информатика и ИКТ","496","442","50","1"
"физики","689","668","17","3"
"математики","1973","1916","42","1"
"химии","502","489","12","1"
"геогpафии","641","610","23","1"
"биологии","614","572","36","1"
"иностpанных языков","1810","1666","120","1"
"физической культуры","1440","931","470","6"
