"25. ЦЕНЫ И ТАРИФЫ",""
"","Продолжение табл. 25.12"
"","2018"
"Портландцемент с минеральными добавками","105,6"
"Кирпич силикатный и шлаковый","100,0"
"Блоки стеновые силикатные","100,0"
"Блоки и прочие изделия сборные строительные для зданий и сооружений из це-",""
"мента, бетона или искусственного камня","96,5"
"Производство машин и оборудования, не включенных в другие группировки",""
"Двигатели внутреннего сгорания поршневые с воспламенением",""
"от сжатия прочие","106,9"
"Плуги общего назначения","99,8"
"Производство электродвигателей, электрогенераторов в другие группировки",""
"Трансформаторы электрические","100,0"
"Производство прочих транспортных средств и оборудования",""
"Вагоны грузовые магистральные широкой колеи","109,8"
"Обеспечение электрической энергией, газом и паром;  кондиционирование",""
"воздуха",""
"Электроэнергия, отпущенная различным категориям потребителей","100,1"
"Пар и горячая вода","105,6"
"Водоснабжение; водоотведение, организация сбора и утилизации отходов,",""
"деятельность по ликвидации загрязнений",""
"Вода природная","100,0"
"Услуги по очистке вод и распределению воды по водопроводам","101,8"
"Услуги по удалению сточных отходов","103,4"
