"ИНДЕКСЫ ЦЕН И СРЕДНИЕ ЦЕНЫ ПРОИЗВОДИТЕЛЕЙ",""
"25.11. ИНДЕКСЫ ЦЕН ПРОИЗВОДИТЕЛЕЙ",""
"ПО ВИДАМ ЭКОНОМИЧЕСКОЙ ДЕЯТЕЛЬНОСТИ (ОКВЭД2)",""
"(декабрь к декабрю предыдущего года; в процентах)",""
"","2018"
"Промышленное производство (промышленность)","109,0"
"Добыча полезных ископаемых","95,6"
"Обрабатывающие производства","110,5"
"Производство пищевых продуктов","110,7"
"Обработка древесины и производство изделий из дерева и пробки, кроме мебели,",""
"производство изделий из соломки и материалов для плетения","137,4"
