"","25.8. СРЕДНИЕ ПОТРЕБИТЕЛЬСКИЕ ЦЕНЫ","","","",""
"","НА ОТДЕЛЬНЫЕ ВИДЫ НЕПРОДОВОЛЬСТВЕННЫХ ТОВАРОВ","","","",""
"","(на конец года; рублей за штуку)","","","",""
"","2014","2015","2016","2017","2018"
"Костюм-двойка мужской из шерстяных, полушер-","","","","",""
"стяных или смесовых тканей","5619,61","6438,06","7272,27","7618,50","7562,70"
"Сорочка мужская верхняя из хлопчатобумажных","","","","",""
"или смесовых тканей","861,76","1079,09","1335,00","1472,50","1523,59"
"Брюки мужские из джинсовой ткани","1750,30","1992,66","2288,55","2431,13","2327,72"
"Пальто женское демисезонное","6804,56","7082,95","7618,90","8121,27","8537,43"
"Халат женский из хлопчатобумажной ткани","438,69","535,48","625,69","656,54","660,88"
"Носки мужские из хлопчатобумажной и смесовой","","","","",""
"пряжи, за пару","47,11","54,79","57,75","56,55","57,94"
"Колготки детские","104,84","140,53","162,89","172,58","174,37"
"Сапоги, ботинки  мужские зимние с верхом","","","","",""
"из натуральной кожи, пара","3113,84","3883,30","4849,91","5011,45","4985,04"
"Сапоги женские зимние с верхом из натуральной","","","","",""
"кожи,  пара","5043,20","6388,85","9179,68","8794,51","8325,60"
"Туфли женские модельные, пара","2571,58","3343,46","4101,65","4228,97","4483,08"
