"25. ЦЕНЫ И ТАРИФЫ",""
"","Продолжение табл. 25.11"
"","2018"
"Производство бумаги и бумажных изделий","96,5"
"Деятельность полиграфическая и копирование носителей информации","101,3"
"Производство кокса и нефтепродуктов","103,6"
"Производство химических веществ и химических продуктов","146,4"
"Производство прочей  неметаллической минеральной продукции","99,3"
"Производство металлургическое","116,6"
"Производство автотранспортных средств, прицепов и полуприцепов","118,6"
"Производство прочих транспортных средств и оборудования","109,8"
"Обеспечение электрической энергией, газом и паром;  кондиционирование",""
"воздуха","104,0"
"Водоснабжение; водоотведение, организация сбора и  утилизации отходов,",""
"деятельность по ликвидации загрязнений","101,0"
