"","","","","","","","","","","","Продолжение табл. 4.25",""
"Пол,","","Число прибывших","","","","Число выбывших","","","","","Миграционный",""
"возраст","","из-за пределов края","","","","","за пределы края","","","","прирост",""
"","2015","2016","2017","2018","2015","2016","2017","2018","2015","2016","2017","2018"
"30-39","6766","6812","6834","7270","7590","8403","8907","9234","-824","-1591","-2073","-1964"
"40-49","3645","3694","3731","4172","3979","4212","4480","5046","-334","-518","-749","-874"
"50-54","1581","1416","1354","1407","1550","1613","1582","1643","31","-197","-228","-236"
"55-59","1576","1529","1530","1619","1472","1548","1619","1717","104","-19","-89","-98"
"60-64","1035","1016","1064","1197","946","1063","1144","1366","89","-47","-80","-169"
"65 лет и","","","","","","","","","","","",""
"более","1543","1548","1642","1814","1739","1850","2021","2342","-196","-302","-379","-528"
"Мужчины и","","","","","","","","","","","",""
"женщины","","","","","","","","","","","",""
"по основ-","","","","","","","","","","","",""
"ным возрас-","","","","","","","","","","","",""
"тным груп-","","","","","","","","","","","",""
"пам:","","","","","","","","","","","",""
"мужчины и","","","","","","","","","","","",""
"женщины","","","","","","","","","","","",""
"0-15","4435","4519","4520","4986","5210","5618","6013","6238","-775","-1099","-1493","-1252"
"мужчины","","","","","","","","","","","",""
"16-59,","","","","","","","","","","","",""
"женщины","","","","","","","","","","","",""
"16-54","24565","24361","24195","25509","28166","29365","30190","30842","-3601","-5004","-5995","-5333"
"мужчины","","","","","","","","","","","",""
"60 и более,","","","","","","","","","","","",""
"женщины","","","","","","","","","","","",""
"55 и более","3374","3361","3471","3839","3455","3730","4042","4665","-81","-369","-571","-826"
"Мужчины","16950","16981","17123","18442","18814","19966","20540","21439","-1864","-2985","-3417","-2997"
"в том","","","","","","","","","","","",""
"числе в","","","","","","","","","","","",""
"возрасте,","","","","","","","","","","","",""
"лет","","","","","","","","","","","",""
"0-5","1010","982","927","1063","1126","1219","1278","1283","-116","-237","-351","-220"
"6-13","1074","1112","1192","1347","1245","1445","1591","1629","-171","-333","-399","-282"
"14","104","112","117","118","128","141","145","148","-24","-29","-28","-30"
"15","133","108","122","140","148","126","175","162","-15","-18","-53","-22"
"16","205","173","187","175","230","252","245","274","-25","-79","-58","-99"
"17","245","223","172","232","321","334","346","298","-76","-111","-174","-66"
"18-19","762","873","810","864","1174","1116","1144","1279","-412","-243","-334","-415"
"20-24","2636","2742","2806","3025","2922","2978","2896","2971","-286","-236","-90","54"
"25-29","2513","2459","2445","2443","2933","3081","3000","2999","-420","-622","-555","-556"
"30-39","3609","3709","3698","3947","3952","4407","4617","4807","-343","-698","-919","-860"
"40-49","2041","2064","2107","2329","2197","2255","2386","2647","-156","-191","-279","-318"
"50-54","820","699","689","744","773","847","799","826","47","-148","-110","-82"
"55-59","780","732","765","791","702","731","742","760","78","1","23","31"
"60-64","493","492","498","570","400","466","530","596","93","26","-32","-26"
"65 лет","","","","","","","","","","","",""
"и  более","525","501","588","654","563","568","646","760","-38","-67","-58","-106"
