"","ИНДЕКСЫ ЦЕН НА РЫНКЕ ЖИЛЬЯ","","","",""
"","25.10. ИНДЕКСЫ ЦЕН НА ПЕРВИЧНОМ И ВТОРИЧНОМ РЫНКАХ ЖИЛЬЯ","","","",""
"","(на конец года; в процентах к концу предыдущего года)","","","",""
"","2014","2015","2016","2017","2018"
"Первичный рынок жилья","107,0","100,6","97,0","99,6","106,0"
"в том числе квартиры:","","","","",""
"типовые","102,1","99,4","100,6","100,6","108,8"
"улучшенной планировки","108,3","100,7","97,9","100,0","105,3"
"элитные","105,8","101,8","89,0","93,9","102,2"
"Вторичный рынок жилья","103,3","94,7","94,2","102,0","104,5"
"в том числе квартиры:","","","","",""
"низкого качества","103,4","99,7","95,9","93,2","100,9"
"типовые","100,2","96,4","91,6","101,9","105,1"
"улучшенной планировки","108,4","91,2","97,2","103,1","104,1"
"элитные","99,1","98,5","91,6","101,1","103,4"
