"","6.4. СРЕДНЕМЕСЯЧНАЯ НОМИНАЛЬНАЯ И РЕАЛЬНАЯ НАЧИСЛЕННАЯ","","",""
"","","ЗАРАБОТНАЯ ПЛАТА РАБОТНИКОВ ОРГАНИЗАЦИЙ","",""
"","","(без выплат социального характера)","",""
"Годы","","Среднемесячная номинальная начисленная","","Реальная заработная плата"
"","","заработная плата","","(в процентах к  предыдущему"
"","","","","году)"
"","рублей","","в процентах к предыдущему",""
"","","","году",""
"2014","19456","","108,0","99,9"
"2015","20090","","103,3","90,0"
"2016","21202","","105,5","98,4"
"2017","22743","","107,3","103,6"
"2018","25519","","112,2","109,3"
