"","ПОКАЗАТЕЛИ ЕСТЕСТВЕННОГО ДВИЖЕНИЯ НАСЕЛЕНИЯ","","","","",""
"","4.12. РОЖДАЕМОСТЬ, СМЕРТНОСТЬ И ЕСТЕСТВЕННЫЙ ПРИРОСТ НАСЕЛЕНИЯ","","","","",""
"Годы","","Всего,  человек","","","На 1000 человек населения",""
"","родившиеся","умершие","естественный","родившиеся","умершие","естественный"
"","","","прирост,","","","прирост,"
"","","","убыль (-)","","","убыль (-)"
"","","","Все население","","",""
"2014","31414","33971","-2557","13,2","14,2","-1,0"
"2015","30080","33661","-3581","12,6","14,1","-1,5"
"2016","28734","33356","-4622","12,1","14,1","-2,0"
"2017","25556","33097","-7541","10,8","14,0","-3,2"
"2018","23408","33264","-9856","10,0","14,2","-4,2"
"","","","Городское население","","",""
"2014","17335","17220","115","13,0","12,9","0,1"
"2015","17693","17415","278","13,2","13,0","0,2"
"2016","16835","17126","-291","12,6","12,8","-0,2"
"2017","14645","17300","-2655","11,0","13,0","-2,0"
"2018","13420","17377","-3957","10,1","13,1","-3,0"
"","","","Сельское население","","",""
"2014","14079","16751","-2672","13,4","15,9","-2,5"
"2015","12387","16246","-3859","11,9","15,5","-3,6"
"2016","11899","16230","-4331","11,5","15,6","-4,1"
"2017","10911","15797","-4886","10,6","15,4","-4,8"
"2018","9988","15887","-5899","9,8","15,6","-5,8"
