"","7.1. ОСНОВНЫЕ ПОКАЗАТЕЛИ ОБРАЗОВАНИЯ1)","","","",""
"","(на конец года)","","","",""
"","2014","2015","2016","2017","2018"
"Организации, осуществляющие образовательную","","","","",""
"деятельность по образовательным программам","","","","",""
"дошкольного образования, присмотр и уход за","","","","",""
"детьми2) – всего","1426","1343","1264","869","661"
"в том числе:","","","","",""
"самостоятельные дошкольные образовательные","","","","",""
"организации","883","817","749","437","366"
"организации общего образования, дополнитель-","","","","",""
"ного образования детей и иных организаций,","","","","",""
"имеющих подразделения (группы), осуществ-","","","","",""
"ляющие образовательную деятельность по обра-","","","","",""
"зовательным программам дошкольного образо-","","","","",""
"вания, присмотр и уход за детьми","543","526","515","432","295"
"Численность воспитанников3) – всего, человек","106252","109701","112505","112685","110220"
"в том числе:","","","","",""
"в самостоятельных дошкольных образователь-","","","","",""
"ных организациях","98219","101412","103273","96457","93574"
"в подразделениях (группах), осуществляющих","","","","",""
"образовательную деятельность по программам","","","","",""
"дошкольного образования, присмотр и уход за","","","","",""
"детьми, организованных при общеобразователь-","","","","",""
"ных организациях и организациях дополнитель-","","","","",""
"ного образования детей","8033","8289","9232","16228","16646"
"Численность воспитанников, приходящихся на","","","","",""
"100 мест в дошкольных образовательных орга-","","","","",""
"низациях, человек","104","103","102","103","103"
"Число государственных и муниципальных обще-","","","","",""
"образовательных организаций (включая вечерние","","","","",""
"организации)","1086/92","1038/105","991/134","824/284","689/403"
"В них обучающихся, человек","245057","251348","259214","265580","269885"
"Число негосударственных общеобразовательных","","","","",""
"организаций","7","7","7","7","7"
"В них обучающихся, человек","540","561","566","553","561"
"Число учреждений начального профессиональ-","","","","",""
"ного образования","35","34","…4)","…4)","…4)"
"В них учащихся, тыс. человек","12,5","15,95)","…4)","…4)","…4)"
"Число организаций среднего профессионального","","","","",""
"образования6)","38/2","42/3","58/17","58/17","54/17"
"в том числе:","","","","",""
"государственных и муниципальных","35/2","39/3","55/16","54/16","50/16"
"негосударственных","3","3","3/1","4/1","4/1"
