,год,ВСЕГО,ЖЕНЩИН,"Незанятые граждане,ищущие работу",РАБОТНИКОВ С/Х,РАБОЧИХ,СЛУЖАЩИХ,Трудоспос. население в трудоспос. Возрасте,освобождено от уг отв,привлечено к уголовной отв
Змеиногорский,2019.0,185.0,21.0,367.0,0.0,39.0,0.0,9211.0,63.0,122.0
Калманский,2015.0,140.0,28.0,156.0,0.0,33.0,2.0,7165.0,62.0,78.0
Калманский,2016.0,153.0,20.0,130.0,0.0,26.0,1.0,6889.0,51.0,102.0
Калманский,2017.0,151.0,17.0,110.0,0.0,26.0,4.0,6628.0,42.0,109.0
Калманский,2018.0,170.0,17.0,115.0,1.0,32.0,1.0,6151.0,58.0,112.0
Калманский,2019.0,175.0,25.0,161.0,1.0,31.0,4.0,6204.0,62.0,112.0
Каменский,2015.0,452.0,55.0,514.0,1.0,67.0,5.0,29138.0,215.0,237.0
Каменский,2016.0,482.0,64.0,456.0,0.0,55.0,2.0,28853.0,163.0,299.0
Каменский,2017.0,381.0,54.0,470.0,0.0,46.0,2.0,27987.0,102.0,278.0
Каменский,2018.0,357.0,53.0,442.0,0.0,56.0,3.0,26771.0,119.0,236.0
Каменский,2019.0,350.0,44.0,399.0,0.0,50.0,1.0,27121.0,100.0,249.0
Ключевский,2015.0,187.0,16.0,306.0,1.0,25.0,1.0,9238.0,83.0,104.0
Ключевский,2016.0,210.0,19.0,307.0,0.0,29.0,0.0,8970.0,95.0,114.0
Ключевский,2017.0,191.0,21.0,388.0,0.0,18.0,0.0,8731.0,82.0,108.0
Ключевский,2018.0,175.0,21.0,377.0,1.0,29.0,0.0,8151.0,62.0,113.0
Ключевский,2019.0,176.0,20.0,406.0,0.0,17.0,0.0,8225.0,65.0,111.0
Косихинский,2015.0,165.0,25.0,311.0,0.0,16.0,0.0,8434.0,64.0,101.0
Косихинский,2016.0,352.0,45.0,338.0,0.0,45.0,2.0,8126.0,125.0,217.0
Косихинский,2017.0,310.0,51.0,276.0,0.0,31.0,1.0,7914.0,116.0,194.0
Косихинский,2018.0,277.0,45.0,270.0,0.0,34.0,3.0,7381.0,93.0,184.0
Косихинский,2019.0,223.0,42.0,249.0,1.0,36.0,1.0,7437.0,87.0,136.0
Крутихинский,2015.0,139.0,22.0,337.0,0.0,12.0,0.0,5388.0,83.0,56.0
Крутихинский,2016.0,122.0,15.0,359.0,0.0,12.0,0.0,5263.0,53.0,62.0
Крутихинский,2017.0,94.0,7.0,276.0,0.0,16.0,0.0,5181.0,38.0,56.0
Крутихинский,2018.0,87.0,9.0,256.0,0.0,17.0,0.0,4993.0,42.0,45.0
Крутихинский,2019.0,72.0,11.0,291.0,0.0,11.0,0.0,5091.0,40.0,31.0
Кулундинский,2015.0,228.0,37.0,344.0,1.0,43.0,0.0,12139.0,100.0,128.0
Кулундинский,2016.0,276.0,38.0,339.0,1.0,33.0,3.0,11878.0,103.0,172.0
Кулундинский,2017.0,239.0,27.0,299.0,0.0,40.0,0.0,11700.0,66.0,173.0
Кулундинский,2018.0,234.0,27.0,290.0,1.0,43.0,0.0,11307.0,80.0,152.0
Кулундинский,2019.0,261.0,46.0,416.0,1.0,49.0,2.0,11458.0,96.0,163.0
Кытмановский,2015.0,173.0,23.0,228.0,1.0,33.0,2.0,6441.0,76.0,97.0
Кытмановский,2016.0,175.0,19.0,230.0,3.0,34.0,0.0,6265.0,57.0,118.0
Кытмановский,2017.0,74.0,6.0,197.0,0.0,12.0,0.0,6102.0,23.0,51.0
Кытмановский,2018.0,164.0,19.0,203.0,0.0,40.0,0.0,5726.0,54.0,110.0
Кытмановский,2019.0,144.0,18.0,200.0,0.0,32.0,1.0,5666.0,47.0,97.0
Мамонтовский,2015.0,197.0,28.0,378.0,5.0,34.0,2.0,14240.0,98.0,99.0
Мамонтовский,2016.0,232.0,24.0,350.0,0.0,22.0,1.0,13765.0,76.0,151.0
Мамонтовский,2017.0,211.0,26.0,249.0,2.0,29.0,0.0,13363.0,77.0,134.0
Мамонтовский,2018.0,167.0,17.0,249.0,0.0,20.0,0.0,12311.0,56.0,111.0
Мамонтовский,2019.0,145.0,17.0,298.0,0.0,25.0,0.0,12347.0,51.0,93.0
Немецкий,2015.0,163.0,16.0,363.0,16.0,39.0,1.0,10691.0,90.0,73.0
Немецкий,2016.0,184.0,18.0,330.0,2.0,44.0,0.0,10357.0,95.0,88.0
Немецкий,2017.0,181.0,24.0,300.0,0.0,50.0,0.0,10075.0,87.0,93.0
Немецкий,2018.0,126.0,15.0,338.0,7.0,20.0,1.0,9490.0,69.0,56.0
Немецкий,2019.0,151.0,18.0,382.0,11.0,53.0,3.0,9627.0,74.0,77.0
Новичихинский,2015.0,108.0,11.0,518.0,3.0,19.0,1.0,8945.0,45.0,63.0
Новичихинский,2016.0,94.0,17.0,429.0,3.0,15.0,0.0,8595.0,35.0,59.0
Новичихинский,2017.0,73.0,11.0,393.0,2.0,16.0,2.0,8334.0,20.0,53.0
Новичихинский,2018.0,92.0,14.0,400.0,2.0,15.0,0.0,7977.0,46.0,44.0
Новичихинский,2019.0,79.0,7.0,519.0,0.0,14.0,0.0,8066.0,26.0,51.0
Павловский,2015.0,365.0,51.0,241.0,2.0,91.0,4.0,4800.0,167.0,198.0
Павловский,2016.0,432.0,54.0,212.0,2.0,119.0,0.0,4656.0,178.0,244.0
Павловский,2017.0,364.0,56.0,207.0,5.0,85.0,4.0,4498.0,122.0,238.0
Павловский,2018.0,368.0,40.0,212.0,0.0,90.0,1.0,4232.0,131.0,235.0
Павловский,2019.0,397.0,58.0,182.0,1.0,110.0,2.0,4287.0,145.0,247.0
Панкрушихинский,2015.0,182.0,20.0,391.0,0.0,16.0,0.0,21717.0,89.0,93.0
Панкрушихинский,2016.0,168.0,18.0,370.0,0.0,16.0,0.0,21354.0,80.0,86.0
Панкрушихинский,2017.0,161.0,22.0,317.0,0.0,18.0,3.0,21046.0,54.0,107.0
Панкрушихинский,2018.0,139.0,23.0,326.0,0.0,8.0,2.0,19679.0,48.0,90.0
Панкрушихинский,2019.0,127.0,27.0,500.0,0.0,8.0,2.0,19816.0,36.0,91.0
Петропавловский,2015.0,126.0,27.0,229.0,1.0,25.0,1.0,6404.0,62.0,64.0
Петропавловский,2016.0,132.0,17.0,233.0,2.0,34.0,0.0,6156.0,71.0,61.0
Петропавловский,2017.0,130.0,20.0,229.0,4.0,28.0,2.0,6049.0,57.0,73.0
Петропавловский,2018.0,120.0,19.0,178.0,6.0,31.0,0.0,5652.0,57.0,63.0
Петропавловский,2019.0,91.0,7.0,164.0,1.0,17.0,0.0,5702.0,37.0,54.0
Поспелихинский,2015.0,250.0,38.0,278.0,3.0,52.0,2.0,28904.0,94.0,156.0
Поспелихинский,2016.0,202.0,31.0,258.0,3.0,35.0,1.0,28938.0,74.0,128.0
Поспелихинский,2017.0,232.0,24.0,251.0,4.0,42.0,13.0,28723.0,72.0,156.0
Поспелихинский,2018.0,206.0,24.0,237.0,3.0,36.0,1.0,28547.0,56.0,148.0
Поспелихинский,2019.0,216.0,28.0,388.0,2.0,53.0,4.0,29236.0,81.0,134.0
Романовский,2015.0,105.0,13.0,119.0,3.0,15.0,0.0,6122.0,40.0,65.0
Романовский,2016.0,116.0,14.0,115.0,6.0,23.0,0.0,5963.0,45.0,71.0
Романовский,2017.0,113.0,19.0,105.0,2.0,33.0,0.0,5823.0,51.0,62.0
Романовский,2018.0,95.0,4.0,102.0,0.0,25.0,0.0,5586.0,49.0,46.0
Романовский,2019.0,88.0,16.0,139.0,0.0,23.0,0.0,5597.0,39.0,49.0
Рубцовский,2015.0,241.0,44.0,261.0,0.0,26.0,1.0,12261.0,131.0,110.0
Рубцовский,2016.0,230.0,27.0,276.0,2.0,36.0,0.0,11886.0,86.0,143.0
Рубцовский,2017.0,210.0,29.0,251.0,0.0,26.0,2.0,11590.0,92.0,118.0
Рубцовский,2018.0,206.0,27.0,260.0,0.0,20.0,1.0,11067.0,91.0,115.0
Рубцовский,2019.0,181.0,18.0,265.0,0.0,29.0,1.0,11129.0,85.0,95.0
Солонешенский,2015.0,129.0,15.0,200.0,1.0,19.0,1.0,6169.0,65.0,64.0
Солонешенский,2016.0,115.0,12.0,197.0,0.0,17.0,0.0,5887.0,48.0,67.0
Солонешенский,2017.0,103.0,9.0,202.0,0.0,9.0,1.0,5705.0,37.0,66.0
Солонешенский,2018.0,125.0,9.0,216.0,1.0,12.0,2.0,5361.0,40.0,85.0
Солонешенский,2019.0,102.0,9.0,122.0,0.0,12.0,0.0,5453.0,45.0,57.0
Суетский,2015.0,63.0,5.0,293.0,0.0,17.0,0.0,11375.0,27.0,36.0
Суетский,2016.0,61.0,8.0,291.0,0.0,14.0,0.0,10890.0,21.0,40.0
Суетский,2017.0,57.0,2.0,259.0,0.0,13.0,0.0,10433.0,14.0,43.0
Суетский,2018.0,45.0,5.0,289.0,0.0,12.0,0.0,9785.0,17.0,28.0
Суетский,2019.0,50.0,6.0,335.0,0.0,15.0,0.0,9760.0,25.0,25.0
Табунский,2015.0,373.0,71.0,366.0,3.0,44.0,8.0,7968.0,161.0,212.0
Табунский,2016.0,114.0,18.0,345.0,0.0,18.0,3.0,7699.0,47.0,67.0
Табунский,2017.0,91.0,12.0,363.0,0.0,17.0,0.0,7406.0,33.0,58.0
Табунский,2018.0,341.0,76.0,338.0,0.0,36.0,2.0,6937.0,143.0,198.0
Табунский,2019.0,89.0,12.0,248.0,0.0,23.0,0.0,6968.0,23.0,66.0
Топчихинский,2015.0,247.0,32.0,200.0,1.0,46.0,2.0,3953.0,108.0,139.0
Топчихинский,2016.0,243.0,32.0,200.0,1.0,39.0,1.0,3715.0,95.0,147.0
Топчихинский,2017.0,207.0,22.0,165.0,2.0,50.0,0.0,3592.0,65.0,142.0
Топчихинский,2018.0,191.0,19.0,164.0,1.0,29.0,0.0,3552.0,73.0,117.0
